,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
295,16.12.2021,Bingöl Yayladere TSM.,Bingöl,1,"72,74","72,74",Doğu Anadolu Bölgesi
296,16.12.2021,Adaklı İlçe Devlet Hast.,Bingöl,2,"72,96","73,16",Doğu Anadolu Bölgesi
297,16.12.2021,Kiğı İlçe Devlet Hast.,Bingöl,1,"73,3","73,3",Doğu Anadolu Bölgesi
298,16.12.2021,Karlıova Devlet Hast.,Bingöl,6,"73,97","75,11",Doğu Anadolu Bölgesi
299,16.12.2021,Bingöl Yedisu TSM.,Bingöl,1,"74,15","74,15",Doğu Anadolu Bölgesi
300,16.12.2021,Solhan Devlet Hast.,Bingöl,4,"74,99","76,02",Doğu Anadolu Bölgesi
301,16.12.2021,Bingöl Kadın Doğum ve Çocuk Hastal.Hast.,Bingöl,8,"75,42","77,06",Doğu Anadolu Bölgesi
302,16.12.2021,Genç Devlet Hast.,Bingöl,2,"76,3","76,47",Doğu Anadolu Bölgesi
303,16.12.2021,Bingöl Devlet Hast.,Bingöl,18,"77,18","89,04",Doğu Anadolu Bölgesi
304,16.12.2021,Muş Malazgirt İlçe Sağlık Müd.,Muş,4,"72,77","73,64",Doğu Anadolu Bölgesi
305,16.12.2021,Muş Bulanık İlçe Sağlık Müd.,Muş,4,"72,84","74,73",Doğu Anadolu Bölgesi
306,16.12.2021,Varto Devlet Hast.,Muş,16,"73,04","74,57",Doğu Anadolu Bölgesi
307,16.12.2021,Muş Korkut TSM.,Muş,2,"73,13","73,28",Doğu Anadolu Bölgesi
308,16.12.2021,Malazgirt Devlet Hast.,Muş,13,"73,21","74,6",Doğu Anadolu Bölgesi
309,16.12.2021,Korkut İlçe Devlet Hast.,Muş,2,"73,39","74,05",Doğu Anadolu Bölgesi
310,16.12.2021,Muş Hasköy TSM.,Muş,2,"73,41","74,19",Doğu Anadolu Bölgesi
311,16.12.2021,Bulanık Devlet Hast.,Muş,18,"73,5","77,03",Doğu Anadolu Bölgesi
312,16.12.2021,Muş Varto İlçe Sağlık Müd.,Muş,2,"73,79","74,54",Doğu Anadolu Bölgesi
313,16.12.2021,Hasköy Devlet Hast.,Muş,6,"74,19","86,16",Doğu Anadolu Bölgesi
314,16.12.2021,Muş Devlet Hast.,Muş,50,"75,03","80,63",Doğu Anadolu Bölgesi
315,16.12.2021,Muş Merkez TSM.,Muş,7,"75,49","80,72",Doğu Anadolu Bölgesi
316,16.12.2021,Bahçesaray İlçe Devlet Hast.,Van,6,"72,93","73,59",Doğu Anadolu Bölgesi
317,16.12.2021,Van Bahçesaray TSM.,Van,1,"73,01","73,01",Doğu Anadolu Bölgesi
318,16.12.2021,Van Çatak TSM.,Van,1,"73,13","73,13",Doğu Anadolu Bölgesi
319,16.12.2021,Van Çaldıran İlçe Sağlık Müd.,Van,2,"73,41","74,77",Doğu Anadolu Bölgesi
320,16.12.2021,Başkale Devlet Hast.,Van,7,"73,42","76,5",Doğu Anadolu Bölgesi
321,16.12.2021,Çaldıran Devlet Hast.,Van,10,"73,63","75,85",Doğu Anadolu Bölgesi
322,16.12.2021,Van Saray TSM.,Van,2,"73,92","74,77",Doğu Anadolu Bölgesi
323,16.12.2021,Van Saray İlçe Devlet Hast.,Van,10,"74,02","76,1",Doğu Anadolu Bölgesi
324,16.12.2021,Van Başkale İlçe Sağlık Müd.,Van,2,"74,16","74,78",Doğu Anadolu Bölgesi
325,16.12.2021,Muradiye Devlet Hast.,Van,6,"75,41","76,92",Doğu Anadolu Bölgesi
326,16.12.2021,Çatak Devlet Hast.,Van,2,"75,65","86,19",Doğu Anadolu Bölgesi
327,16.12.2021,Van Özalp İlçe Sağlık Müd.,Van,3,"75,65","76,94",Doğu Anadolu Bölgesi
328,16.12.2021,Özalp Devlet Hast.,Van,8,"75,66","77,35",Doğu Anadolu Bölgesi
329,16.12.2021,Erciş Şehit Rıdvan Çevik Devlet Hast.,Van,29,"75,82","84,68",Doğu Anadolu Bölgesi
330,16.12.2021,Van Erciş İlçe Sağlık Müd.,Van,2,"76,71","77,1",Doğu Anadolu Bölgesi
331,16.12.2021,Van Gürpınar İlçe Sağlık Müd.,Van,1,"77,09","77,09",Doğu Anadolu Bölgesi
332,16.12.2021,Gürpınar İlçe Devlet Hast.,Van,2,"77,22","77,78",Doğu Anadolu Bölgesi
333,16.12.2021,Gevaş Devlet Hast.,Van,2,"77,25","77,36",Doğu Anadolu Bölgesi
334,16.12.2021,Van Muradiye İlçe Sağlık Müd.,Van,1,"77,48","77,48",Doğu Anadolu Bölgesi
335,16.12.2021,Van EAH.,Van,59,"77,88","86,74",Doğu Anadolu Bölgesi
336,16.12.2021,Van Gevaş TSM.,Van,2,"78,16","81,41",Doğu Anadolu Bölgesi
337,16.12.2021,Van Edremit İlçe Sağlık Müd.,Van,2,"79,2","82,73",Doğu Anadolu Bölgesi
338,16.12.2021,Van Tuşba İlçe Sağlık Müd.,Van,2,"79,71","82,8",Doğu Anadolu Bölgesi
339,16.12.2021,Van İpekyolu İlçe Sağlık Müd.,Van,2,"79,85","79,93",Doğu Anadolu Bölgesi
477,16.12.2021,Hizan Devlet Hast.,Bitlis,6,"74,07","75,91",Doğu Anadolu Bölgesi
478,16.12.2021,Bitlis Mutki İlçe Sağlık Müd.,Bitlis,2,"74,14","79,45",Doğu Anadolu Bölgesi
479,16.12.2021,Güroymak Devlet Hast.,Bitlis,8,"74,63","78,32",Doğu Anadolu Bölgesi
480,16.12.2021,Bitlis Hizan İlçe Sağlık Müd.,Bitlis,2,"74,88","76,61",Doğu Anadolu Bölgesi
481,16.12.2021,Bitlis Adilcevaz İlçe Sağlık Müd.,Bitlis,2,"75,13","77,12",Doğu Anadolu Bölgesi
482,16.12.2021,Adilcevaz Onkoloji Hast.,Bitlis,7,"75,79","76,13",Doğu Anadolu Bölgesi
483,16.12.2021,Bitlis Güroymak İlçe Sağlık Müd.,Bitlis,2,"76,11","85,08",Doğu Anadolu Bölgesi
484,16.12.2021,Bitlis Devlet Hast.,Bitlis,16,"76,16","81,66",Doğu Anadolu Bölgesi
485,16.12.2021,Ahlat Devlet Hast.,Bitlis,10,"76,22","80,73",Doğu Anadolu Bölgesi
486,16.12.2021,Bitlis Ahlat İlçe Sağlık Müd.,Bitlis,2,"76,24","77,71",Doğu Anadolu Bölgesi
487,16.12.2021,Tatvan Devlet Hast.,Bitlis,50,"76,55","82,65",Doğu Anadolu Bölgesi
488,16.12.2021,Bitlis Merkez TSM.,Bitlis,2,"80,98","85,82",Doğu Anadolu Bölgesi
612,16.12.2021,Iğdır Tuzluca TSM.,Iğdır,1,"74,53","74,53",Doğu Anadolu Bölgesi
613,16.12.2021,Iğdır Karakoyunlu TSM.,Iğdır,1,"74,86","74,86",Doğu Anadolu Bölgesi
614,16.12.2021,Tuzluca İlçe Devlet Hast.,Iğdır,2,"75,25","78,44",Doğu Anadolu Bölgesi
615,16.12.2021,Iğdır Aralık TSM.,Iğdır,1,"76,36","76,36",Doğu Anadolu Bölgesi
616,16.12.2021,Aralık İlçe Devlet Hast.,Iğdır,2,"76,55","77,63",Doğu Anadolu Bölgesi
617,16.12.2021,Iğdır Merkez TSM.,Iğdır,2,"78,3","78,36",Doğu Anadolu Bölgesi
618,16.12.2021,Iğdır Devlet Hast.,Iğdır,4,"79,46","83,49",Doğu Anadolu Bölgesi
700,16.12.2021,Kuluncak Şehit Mehmet Ali Şekerci İlçe Devlet Hast.,Malatya,1,"75,18","75,18",Doğu Anadolu Bölgesi
701,16.12.2021,Pütürge Devlet Hast.,Malatya,2,"76,02","76,2",Doğu Anadolu Bölgesi
702,16.12.2021,Arapgir Ali Özge Devlet Hast.,Malatya,2,"76,33","76,54",Doğu Anadolu Bölgesi
703,16.12.2021,Darende Hulusi Efendi Devlet Hast.,Malatya,6,"76,58","79,33",Doğu Anadolu Bölgesi
704,16.12.2021,Malatya Hekimhan TSM.,Malatya,1,"77,01","77,01",Doğu Anadolu Bölgesi
705,16.12.2021,Doğanşehir Şehit Esra Köse Başaran Devlet Hast.,Malatya,7,"77,12","81,16",Doğu Anadolu Bölgesi
706,16.12.2021,Malatya EAH.,Malatya,62,"77,52","85,48",Doğu Anadolu Bölgesi
707,16.12.2021,Elazığ Arıcak TSM.,Elazığ,1,"75,19","75,19",Doğu Anadolu Bölgesi
708,16.12.2021,Elazığ Alacakaya TSM.,Elazığ,1,"75,66","75,66",Doğu Anadolu Bölgesi
709,16.12.2021,Arıcak İlçe Devlet Hast.,Elazığ,1,"76,44","76,44",Doğu Anadolu Bölgesi
710,16.12.2021,Elazığ Kovancılar İlçe Sağlık Müd.,Elazığ,1,"76,47","76,47",Doğu Anadolu Bölgesi
711,16.12.2021,Elazığ Palu TSM.,Elazığ,1,"77,03","77,03",Doğu Anadolu Bölgesi
712,16.12.2021,Karakoçan Devlet Hast.,Elazığ,4,"77,15","82,47",Doğu Anadolu Bölgesi
713,16.12.2021,Elazığ Baskil TSM.,Elazığ,1,"77,34","77,34",Doğu Anadolu Bölgesi
714,16.12.2021,Palu İlçe Devlet Hast.,Elazığ,2,"77,49","78,42",Doğu Anadolu Bölgesi
715,16.12.2021,Kovancılar Devlet Hast.,Elazığ,2,"77,89","78,08",Doğu Anadolu Bölgesi
716,16.12.2021,Elazığ Ruh Sağ.ve Hastal.Hast.,Elazığ,2,"78,24","78,27",Doğu Anadolu Bölgesi
717,16.12.2021,Elazığ Fethi Sekin Şehir Hast.,Elazığ,17,"78,58","89,03",Doğu Anadolu Bölgesi
718,16.12.2021,Maden Şehit Cengiz Erdur İlçe Devlet Hast.,Elazığ,2,"78,71","80,24",Doğu Anadolu Bölgesi
719,16.12.2021,Baskil İlçe Devlet Hast.,Elazığ,1,"79,67","79,67",Doğu Anadolu Bölgesi
720,16.12.2021,Elazığ Karakoçan TSM.,Elazığ,1,"79,96","79,96",Doğu Anadolu Bölgesi
