,HISTORY,HOSPITALS,CITIES,TOTAL QUOATA,VACANT,LOWEST POINT,HIGHEST POINT,REGIONS
333,1.12.2020,Kocaeli Çayırova İlçe Sağlık Müd.,Kocaeli,8,0,"79,94","82,31",Marmara Bölgesi
334,1.12.2020,Kocaeli Körfez İlçe Sağlık Müd.,Kocaeli,7,0,"80,59",85,Marmara Bölgesi
335,1.12.2020,Kocaeli Gebze İlçe Sağlık Müd.,Kocaeli,12,0,"81,24","90,14",Marmara Bölgesi
336,1.12.2020,Kocaeli İzmit Seka Devlet Hast.,Kocaeli,6,0,"81,78","82,22",Marmara Bölgesi
337,1.12.2020,Kocaeli Gölcük İlçe Sağlık Müd.,Kocaeli,2,0,"81,83","82,38",Marmara Bölgesi
338,1.12.2020,Kocaeli Kartepe İlçe Sağlık Müd.,Kocaeli,3,0,"81,9","83,44",Marmara Bölgesi
339,1.12.2020,Kocaeli Devlet Hast.,Kocaeli,6,0,"82,45","85,33",Marmara Bölgesi
340,1.12.2020,Kocaeli Başiskele İlçe Sağlık Müd.,Kocaeli,2,0,"82,51","82,88",Marmara Bölgesi
341,1.12.2020,Kocaeli Karamürsel İlçe Sağlık Müd.,Kocaeli,2,0,"82,82","85,63",Marmara Bölgesi
342,1.12.2020,Kocaeli İzmit İlçe Sağlık Müd.,Kocaeli,5,0,"85,52","89,58",Marmara Bölgesi
343,1.12.2020,Kocaeli Derince İlçe Sağlık Müd.,Kocaeli,2,0,"86,13","88,82",Marmara Bölgesi
344,1.12.2020,Saray Devlet Hast.,Tekirdağ,1,0,"77,87","77,87",Marmara Bölgesi
345,1.12.2020,Çerkezköy Devlet Hast.,Tekirdağ,8,0,"78,81","85,02",Marmara Bölgesi
346,1.12.2020,Çorlu Devlet Hast.,Tekirdağ,10,0,"79,47","89,33",Marmara Bölgesi
347,1.12.2020,Tekirdağ Devlet Hast.,Tekirdağ,11,0,"80,26","93,11",Marmara Bölgesi
348,1.12.2020,Tekirdağ Ergene İlçe Sağlık Müd.,Tekirdağ,2,0,"83,55","84,25",Marmara Bölgesi
349,1.12.2020,Şarköy Devlet Hast.,Tekirdağ,1,0,"83,86","83,86",Marmara Bölgesi
350,1.12.2020,Tekirdağ Çorlu İlçe Sağlık Müd.,Tekirdağ,1,0,"85,03","85,03",Marmara Bölgesi
356,1.12.2020,Yenişehir Devlet Hast.,Bursa,8,0,"78,24","81,1",Marmara Bölgesi
357,1.12.2020,Mustafakemalpaşa Devlet Hast.,Bursa,12,0,"78,51","79,43",Marmara Bölgesi
358,1.12.2020,Orhangazi Devlet Hast.,Bursa,8,0,"79,11","80,47",Marmara Bölgesi
359,1.12.2020,Karacabey Devlet Hast.,Bursa,12,0,"79,14","84,6",Marmara Bölgesi
360,1.12.2020,İnegöl Devlet Hast.,Bursa,16,0,"79,48","80,91",Marmara Bölgesi
361,1.12.2020,İznik Devlet Hast.,Bursa,4,0,"79,68","80,26",Marmara Bölgesi
362,1.12.2020,Gemlik Devlet Hast.,Bursa,20,0,"80,62","84,54",Marmara Bölgesi
363,1.12.2020,Gürsu Cüneyt Yıldız Devlet Hast.,Bursa,4,0,"81,13","85,1",Marmara Bölgesi
364,1.12.2020,Kestel Devlet Hast.,Bursa,12,0,"81,46","85,7",Marmara Bölgesi
365,1.12.2020,Bursa Yüksek İhtisas EAH.,Bursa,16,0,"81,79","89,61",Marmara Bölgesi
366,1.12.2020,Çekirge Devlet Hast.,Bursa,4,0,"83,02","83,13",Marmara Bölgesi
367,1.12.2020,Bursa Şehir Hast.,Bursa,25,0,"83,14","89,67",Marmara Bölgesi
368,1.12.2020,Bursa Dr. Ayten Bozkaya Spastik Çocuklar Hastanesi ve Reh. Merk.,Bursa,4,0,"83,9","88,54",Marmara Bölgesi
380,1.12.2020,Altınova İlçe Devlet Hast.,Yalova,4,0,"78,25","79,53",Marmara Bölgesi
381,1.12.2020,Çınarcık Devlet Hast.,Yalova,8,0,"78,43","79,42",Marmara Bölgesi
382,1.12.2020,Armutlu İlçe Devlet Hast.,Yalova,4,0,"78,91","81,71",Marmara Bölgesi
383,1.12.2020,Yalova Devlet Hast.,Yalova,20,0,"79,6","87,2",Marmara Bölgesi
384,1.12.2020,Yalova Altınova TSM.,Yalova,4,0,"81,01","82,03",Marmara Bölgesi
385,1.12.2020,Yalova Çiftlikköy İlçe Sağlık Müd.,Yalova,2,0,"81,41","81,51",Marmara Bölgesi
386,1.12.2020,Yalova Çınarcık İlçe Sağlık Müd.,Yalova,2,0,"82,43","83,27",Marmara Bölgesi
387,1.12.2020,Yalova Termal TSM.,Yalova,1,0,"83,22","83,22",Marmara Bölgesi
388,1.12.2020,Yalova Merkez TSM.,Yalova,2,0,"83,65","84,62",Marmara Bölgesi
389,1.12.2020,Uzunköprü Devlet Hast.,Edirne,2,0,"78,26","85,32",Marmara Bölgesi
390,1.12.2020,Keşan Devlet Hast.,Edirne,2,0,"78,43","82,66",Marmara Bölgesi
391,1.12.2020,Süloğlu İlçe Devlet Hast.,Edirne,1,0,"82,38","82,38",Marmara Bölgesi
392,1.12.2020,Edirne Sultan 1. Murat Devlet Hast.,Edirne,6,0,"82,51","90,13",Marmara Bölgesi
484,1.12.2020,Dursunbey Devlet Hast.,Balıkesir,1,0,"79,57","79,57",Marmara Bölgesi
485,1.12.2020,Susurluk Devlet Hast.,Balıkesir,2,0,"79,83","80,06",Marmara Bölgesi
486,1.12.2020,Manyas Devlet Hast.,Balıkesir,1,0,"80,16","80,16",Marmara Bölgesi
487,1.12.2020,İvrindi Devlet Hast.,Balıkesir,1,0,"81,12","81,12",Marmara Bölgesi
488,1.12.2020,Bigadiç Devlet Hast.,Balıkesir,1,0,"81,44","81,44",Marmara Bölgesi
489,1.12.2020,Balıkesir Atatürk Şehir Hast.,Balıkesir,15,0,"82,37","87,44",Marmara Bölgesi
490,1.12.2020,Ayvalık Devlet Hast.,Balıkesir,2,0,"84,13","87,31",Marmara Bölgesi
491,1.12.2020,Bandırma Devlet Hast.,Balıkesir,2,0,"86,28","92,42",Marmara Bölgesi
492,1.12.2020,Edremit Devlet Hast.,Balıkesir,2,0,"86,32","89,2",Marmara Bölgesi
526,1.12.2020,Yenice Devlet Hast.,Çanakkale,2,0,"79,95","81,28",Marmara Bölgesi
527,1.12.2020,Gökçeada Devlet Hast.,Çanakkale,2,0,"79,98","80,05",Marmara Bölgesi
528,1.12.2020,Çan Devlet Hast.,Çanakkale,4,0,"80,52","90,08",Marmara Bölgesi
529,1.12.2020,Çanakkale Gökçeada TSM.,Çanakkale,1,0,81,81,Marmara Bölgesi
530,1.12.2020,Ayvacık Devlet Hast.,Çanakkale,1,0,"81,73","81,73",Marmara Bölgesi
531,1.12.2020,Çanakkale Çan İlçe Sağlık Müd.,Çanakkale,2,0,"85,01","87,88",Marmara Bölgesi
532,1.12.2020,Çanakkale Ayvacık İlçe Sağlık Müd.,Çanakkale,1,0,"92,28","92,28",Marmara Bölgesi
