,HISTORY,HOSPITALS,CITIES,TOTAL QUOATA,VACANT,LOWEST POINT,HIGHEST POINT,REGIONS
32,1.12.2020,Tercan İlçe Devlet Hast.,Erzincan,4,0,"75,87","77,92",Doğu Anadolu Bölgesi
33,1.12.2020,Refahiye Dr. Fahrettin Uğur İlçe Devlet Hast.,Erzincan,2,0,"76,56","76,67",Doğu Anadolu Bölgesi
34,1.12.2020,Üzümlü İlçe Devlet Hast.,Erzincan,5,0,"76,82","81,03",Doğu Anadolu Bölgesi
35,1.12.2020,Kemaliye İlçe Devlet Hast.,Erzincan,2,0,"76,99","77,49",Doğu Anadolu Bölgesi
36,1.12.2020,Erzincan Mengücek Gazi EAH.,Erzincan,15,0,"78,14","83,46",Doğu Anadolu Bölgesi
175,1.12.2020,Adaklı İlçe Devlet Hast.,Bingöl,1,0,"76,17","76,17",Doğu Anadolu Bölgesi
176,1.12.2020,Kiğı İlçe Devlet Hast.,Bingöl,2,0,"77,85","81,53",Doğu Anadolu Bölgesi
177,1.12.2020,Bingöl Karlıova İlçe Sağlık Müd.,Bingöl,1,0,"80,28","80,28",Doğu Anadolu Bölgesi
178,1.12.2020,Karlıova Devlet Hast.,Bingöl,1,0,"80,29","80,29",Doğu Anadolu Bölgesi
179,1.12.2020,Solhan Devlet Hast.,Bingöl,1,0,"81,22","81,22",Doğu Anadolu Bölgesi
180,1.12.2020,Bingöl Genç İlçe Sağlık Müd.,Bingöl,1,0,"81,63","81,63",Doğu Anadolu Bölgesi
181,1.12.2020,Genç Devlet Hast.,Bingöl,1,0,"82,47","82,47",Doğu Anadolu Bölgesi
182,1.12.2020,Bingöl Kadın Doğum ve Çocuk Hastal. Hast.,Bingöl,1,0,"83,31","83,31",Doğu Anadolu Bölgesi
183,1.12.2020,Bingöl Solhan İlçe Sağlık Müd.,Bingöl,1,0,"85,33","85,33",Doğu Anadolu Bölgesi
184,1.12.2020,Bingöl Devlet Hast.,Bingöl,1,0,"85,59","85,59",Doğu Anadolu Bölgesi
225,1.12.2020,Ovacık İlçe Devlet Hast.,Tunceli,2,0,"76,75","77,67",Doğu Anadolu Bölgesi
226,1.12.2020,Mazgirt İlçe Devlet Hast.,Tunceli,1,0,"78,06","78,06",Doğu Anadolu Bölgesi
227,1.12.2020,Tunceli Pülümür TSM.,Tunceli,1,0,"78,25","78,25",Doğu Anadolu Bölgesi
228,1.12.2020,Hozat İlçe Devlet Hast.,Tunceli,1,0,"78,61","78,61",Doğu Anadolu Bölgesi
229,1.12.2020,Çemişgezek İlçe Devlet Hast.,Tunceli,2,0,"78,87","79,05",Doğu Anadolu Bölgesi
230,1.12.2020,Tunceli Devlet Hast.,Tunceli,2,0,"81,45","82,41",Doğu Anadolu Bölgesi
251,1.12.2020,Arpaçay İlçe Devlet Hast.,Kars,1,0,"76,96","76,96",Doğu Anadolu Bölgesi
252,1.12.2020,Harakani Devlet Hast.,Kars,6,0,"77,38","84,01",Doğu Anadolu Bölgesi
253,1.12.2020,Kars Kağızman İlçe Sağlık Müd.,Kars,1,0,"78,68","78,68",Doğu Anadolu Bölgesi
254,1.12.2020,Kağızman Devlet Hast.,Kars,2,0,"78,71","81,05",Doğu Anadolu Bölgesi
255,1.12.2020,Digor İlçe Devlet Hast.,Kars,1,0,"79,39","79,39",Doğu Anadolu Bölgesi
256,1.12.2020,Kars Susuz TSM.,Kars,1,0,"81,42","81,42",Doğu Anadolu Bölgesi
261,1.12.2020,Van Saray TSM.,Van,2,0,"77,13","77,31",Doğu Anadolu Bölgesi
262,1.12.2020,Van Başkale İlçe Sağlık Müd.,Van,2,0,"77,26","78,88",Doğu Anadolu Bölgesi
263,1.12.2020,Van Çatak TSM.,Van,2,0,"77,78","77,99",Doğu Anadolu Bölgesi
264,1.12.2020,Van Çaldıran İlçe Sağlık Müd.,Van,2,0,"78,08","78,27",Doğu Anadolu Bölgesi
265,1.12.2020,Van Muradiye İlçe Sağlık Müd.,Van,2,0,"78,08","79,52",Doğu Anadolu Bölgesi
266,1.12.2020,Van Bahçesaray TSM.,Van,2,0,"78,25","79,52",Doğu Anadolu Bölgesi
267,1.12.2020,Bahçesaray İlçe Devlet Hast.,Van,1,0,"78,94","78,94",Doğu Anadolu Bölgesi
268,1.12.2020,Van Özalp İlçe Sağlık Müd.,Van,2,0,79,"79,02",Doğu Anadolu Bölgesi
269,1.12.2020,Çaldıran Devlet Hast.,Van,2,0,"79,09","80,49",Doğu Anadolu Bölgesi
270,1.12.2020,Başkale Devlet Hast.,Van,2,0,"79,26","79,72",Doğu Anadolu Bölgesi
271,1.12.2020,Çatak Devlet Hast.,Van,2,0,"79,38","80,93",Doğu Anadolu Bölgesi
272,1.12.2020,Van Erciş İlçe Sağlık Müd.,Van,3,0,"79,9","85,12",Doğu Anadolu Bölgesi
273,1.12.2020,Özalp Devlet Hast.,Van,2,0,"80,06","80,65",Doğu Anadolu Bölgesi
274,1.12.2020,Muradiye Devlet Hast.,Van,2,0,"80,25","80,54",Doğu Anadolu Bölgesi
275,1.12.2020,Van Gürpınar İlçe Sağlık Müd.,Van,2,0,"80,41","80,65",Doğu Anadolu Bölgesi
276,1.12.2020,Van Gevaş TSM.,Van,2,0,"80,47","81,79",Doğu Anadolu Bölgesi
277,1.12.2020,Erciş Şehit Rıdvan Çevik Devlet Hast.,Van,4,0,"80,71","81,42",Doğu Anadolu Bölgesi
278,1.12.2020,Gürpınar İlçe Devlet Hast.,Van,2,0,"81,48","82,15",Doğu Anadolu Bölgesi
279,1.12.2020,Van EAH.,Van,31,0,"81,56","88,89",Doğu Anadolu Bölgesi
280,1.12.2020,Van Edremit İlçe Sağlık Müd.,Van,3,0,"81,98","83,02",Doğu Anadolu Bölgesi
281,1.12.2020,Gevaş Devlet Hast.,Van,2,0,"82,66","83,09",Doğu Anadolu Bölgesi
282,1.12.2020,Van Tuşba İlçe Sağlık Müd.,Van,2,0,"83,39","85,08",Doğu Anadolu Bölgesi
283,1.12.2020,Van İpekyolu İlçe Sağlık Müd.,Van,2,0,"85,52","85,66",Doğu Anadolu Bölgesi
284,1.12.2020,Tutak İlçe Devlet Hast.,Ağrı,4,0,"77,17","82,4",Doğu Anadolu Bölgesi
285,1.12.2020,Patnos Devlet Hast.,Ağrı,6,0,"77,92","82,57",Doğu Anadolu Bölgesi
286,1.12.2020,Ağrı EAH.,Ağrı,23,0,"77,94","84,27",Doğu Anadolu Bölgesi
314,1.12.2020,Hakkari Devlet Hast.,Hakkari,10,0,"77,59","80,3",Doğu Anadolu Bölgesi
315,1.12.2020,Şemdinli Devlet Hast.,Hakkari,4,0,"78,16","79,15",Doğu Anadolu Bölgesi
316,1.12.2020,Yüksekova Devlet Hast.,Hakkari,8,0,"79,81","84,43",Doğu Anadolu Bölgesi
408,1.12.2020,Malatya Kuluncak TSM.,Malatya,2,0,"78,57",79,Doğu Anadolu Bölgesi
409,1.12.2020,Malatya Doğanyol TSM.,Malatya,2,0,"79,17","83,26",Doğu Anadolu Bölgesi
410,1.12.2020,Pütürge Devlet Hast.,Malatya,5,0,"79,39","82,53",Doğu Anadolu Bölgesi
411,1.12.2020,Arapgir Ali Özge Devlet Hast.,Malatya,5,0,"79,67","81,92",Doğu Anadolu Bölgesi
412,1.12.2020,Malatya Arguvan TSM.,Malatya,2,0,"80,58","82,3",Doğu Anadolu Bölgesi
413,1.12.2020,Darende Hulusi Efendi Devlet Hast.,Malatya,8,0,"80,81","83,86",Doğu Anadolu Bölgesi
414,1.12.2020,Hekimhan Devlet Hast.,Malatya,5,0,"81,06","82,12",Doğu Anadolu Bölgesi
415,1.12.2020,Doğanşehir Şehit Esra Köse Başaran Devlet Hast.,Malatya,11,0,"82,62","85,13",Doğu Anadolu Bölgesi
416,1.12.2020,Malatya Akçadağ TSM.,Malatya,1,0,"87,67","87,67",Doğu Anadolu Bölgesi
417,1.12.2020,Akçadağ Şehit Gökhan Aslan Devlet Hast.,Malatya,3,0,"88,92","92,24",Doğu Anadolu Bölgesi
418,1.12.2020,Iğdır Aralık TSM.,Iğdır,2,0,"78,9","80,47",Doğu Anadolu Bölgesi
419,1.12.2020,Tuzluca İlçe Devlet Hast.,Iğdır,2,0,"81,06","81,59",Doğu Anadolu Bölgesi
420,1.12.2020,Iğdır Merkez TSM.,Iğdır,2,0,"81,2","81,41",Doğu Anadolu Bölgesi
421,1.12.2020,Iğdır Devlet Hast.,Iğdır,2,0,"82,34","85,33",Doğu Anadolu Bölgesi
422,1.12.2020,Iğdır Karakoyunlu TSM.,Iğdır,1,0,"83,73","83,73",Doğu Anadolu Bölgesi
432,1.12.2020,Malazgirt Devlet Hast.,Muş,2,0,"79,17","79,19",Doğu Anadolu Bölgesi
433,1.12.2020,Bulanık Devlet Hast.,Muş,4,0,"80,51","81,81",Doğu Anadolu Bölgesi
434,1.12.2020,Muş Devlet Hast.,Muş,6,0,"82,89","87,31",Doğu Anadolu Bölgesi
453,1.12.2020,Hizan Devlet Hast.,Bitlis,5,0,"79,35","83,59",Doğu Anadolu Bölgesi
454,1.12.2020,Adilcevaz Onkoloji Hastanesi,Bitlis,4,0,"79,78","80,58",Doğu Anadolu Bölgesi
455,1.12.2020,Bitlis Devlet Hast.,Bitlis,12,0,"80,03","81,79",Doğu Anadolu Bölgesi
456,1.12.2020,Ahlat Devlet Hast.,Bitlis,10,0,"80,36","82,63",Doğu Anadolu Bölgesi
457,1.12.2020,Tatvan Devlet Hast.,Bitlis,28,0,"80,75","86,76",Doğu Anadolu Bölgesi
458,1.12.2020,Güroymak Devlet Hast.,Bitlis,5,0,"80,79","84,24",Doğu Anadolu Bölgesi
557,1.12.2020,Elazığ Palu TSM.,Elazığ,1,0,"80,82","80,82",Doğu Anadolu Bölgesi
558,1.12.2020,Elazığ Kovancılar İlçe Sağlık Müd.,Elazığ,2,0,"81,16","88,51",Doğu Anadolu Bölgesi
559,1.12.2020,Karakoçan Devlet Hast.,Elazığ,2,0,"81,95","84,9",Doğu Anadolu Bölgesi
560,1.12.2020,Elazığ Karakoçan TSM.,Elazığ,1,0,"82,15","82,15",Doğu Anadolu Bölgesi
561,1.12.2020,Palu İlçe Devlet Hast.,Elazığ,2,0,"82,55","84,58",Doğu Anadolu Bölgesi
562,1.12.2020,Kovancılar Devlet Hast.,Elazığ,2,0,"83,02","84,01",Doğu Anadolu Bölgesi
563,1.12.2020,Elazığ Sivrice TSM.,Elazığ,1,0,"83,79","83,79",Doğu Anadolu Bölgesi
564,1.12.2020,Baskil İlçe Devlet Hast.,Elazığ,1,0,"90,23","90,23",Doğu Anadolu Bölgesi
